date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:11	177302/177302	---MCZ	200	added ('OK')	text/html	etag:W/%2263478708-2b496%22	https://htmldemo.net/koparion/koparion/index.html	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/index.html	(from )
12:13:12	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Nov%202023%2005:13:12%20GMT	https://htmldemo.net/robots.txt		(from )
12:13:13	2106/2106	---MC-	200	added ('OK')	image/png	date:Sat,%2011%20Nov%202023%2005:13:12%20GMT	https://htmldemo.net/koparion/koparion/img/favicon.png	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/img/favicon.png	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:13	194859/194859	---MCZ	200	added ('OK')	text/css	etag:W/%226347871a-2f92b%22	https://htmldemo.net/koparion/koparion/css/bootstrap.min.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/bootstrap.min.css	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:14	74096/74096	---MCZ	200	added ('OK')	text/css	etag:W/%2263478718-12170%22	https://htmldemo.net/koparion/koparion/css/animate.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/animate.css	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:14	2953/2953	---MCZ	200	added ('OK')	text/css	etag:W/%2263478720-b89%22	https://htmldemo.net/koparion/koparion/css/meanmenu.min.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/meanmenu.min.css	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:15	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2263478721-d1c%22	https://htmldemo.net/koparion/koparion/css/owl.carousel.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/owl.carousel.css	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:15	27470/27470	---MCZ	200	added ('OK')	text/css	etag:W/%226347871e-6b4e%22	https://htmldemo.net/koparion/koparion/css/font-awesome.min.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/font-awesome.min.css	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:15	7141/7141	---MCZ	200	added ('OK')	text/css	etag:W/%226347871e-1be5%22	https://htmldemo.net/koparion/koparion/css/flexslider.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/flexslider.css	(from https://htmldemo.net/koparion/koparion/index.html)
12:13:16	11042/11042	---MCZ	200	added ('OK')	text/css	etag:W/%226347871c-2b22%22	https://htmldemo.net/koparion/koparion/css/chosen.min.css	C:/Users/ASUS/Downloads/html-book/book/htmldemo.net/koparion/koparion/css/chosen.min.css	(from https://htmldemo.net/koparion/koparion/index.html)
